Datum,Menge
02.01.2020,25685
03.01.2020,22758
06.01.2020,22590
07.01.2020,22475
08.01.2020,22654
09.01.2020,22446
10.01.2020,22224
13.01.2020,21987
14.01.2020,21709
15.01.2020,22019
16.01.2020,21977
17.01.2020,22162
20.01.2020,22220
21.01.2020,22490
22.01.2020,22288
23.01.2020,21982
24.01.2020,21729
27.01.2020,21585
28.01.2020,21870
29.01.2020,22105
30.01.2020,22005
31.01.2020,22196
03.02.2020,22273
04.02.2020,22595
05.02.2020,22296
06.02.2020,22181
07.02.2020,21865
10.02.2020,21812
11.02.2020,21977
12.02.2020,21762
13.02.2020,21604
14.02.2020,21605
17.02.2020,21589
18.02.2020,21292
19.02.2020,21256
20.02.2020,21296
21.02.2020,21235
24.02.2020,21084
25.02.2020,21074
26.02.2020,21403
27.02.2020,21254
28.02.2020,21503
02.03.2020,21687
03.03.2020,21770
04.03.2020,21804
05.03.2020,21788
06.03.2020,21598
09.03.2020,21430
10.03.2020,21208
11.03.2020,21523
12.03.2020,21840
13.03.2020,21786
16.03.2020,21457
17.03.2020,21771
18.03.2020,21764
19.03.2020,21840
20.03.2020,22008
23.03.2020,22076
24.03.2020,21926
25.03.2020,21814
26.03.2020,21985
27.03.2020,22079
30.03.2020,21944
31.03.2020,21962
01.04.2020,22236
02.04.2020,21942
03.04.2020,22035
06.04.2020,21872
07.04.2020,22072
08.04.2020,22308
09.04.2020,22551
14.04.2020,23840
15.04.2020,22711
16.04.2020,23012
17.04.2020,22763
20.04.2020,22555
21.04.2020,22791
22.04.2020,22628
23.04.2020,22516
24.04.2020,22507
27.04.2020,22398
28.04.2020,22424
29.04.2020,22355
30.04.2020,22544
04.05.2020,22496
05.05.2020,22707
06.05.2020,22635
07.05.2020,22692
08.05.2020,22939
11.05.2020,22745
12.05.2020,22908
13.05.2020,22738
14.05.2020,22601
15.05.2020,22312
18.05.2020,22333
19.05.2020,22530
20.05.2020,22343
22.05.2020,20122
25.05.2020,22467
26.05.2020,22170
27.05.2020,22011
28.05.2020,22024
29.05.2020,22325
02.06.2020,23327
03.06.2020,21987
04.06.2020,21667
05.06.2020,21599
08.06.2020,21844
09.06.2020,21806
10.06.2020,22050
12.06.2020,17168
15.06.2020,22021
16.06.2020,21974
17.06.2020,22289
18.06.2020,22153
19.06.2020,22416
22.06.2020,22681
23.06.2020,22590
24.06.2020,22323
25.06.2020,21995
26.06.2020,21778
29.06.2020,21600
30.06.2020,21644
01.07.2020,21588
02.07.2020,21267
03.07.2020,20969
06.07.2020,21147
07.07.2020,20890
08.07.2020,20923
09.07.2020,21243
10.07.2020,21418
13.07.2020,21634
14.07.2020,21843
15.07.2020,21725
16.07.2020,21867
17.07.2020,21864
20.07.2020,21566
21.07.2020,21685
22.07.2020,21384
23.07.2020,21126
24.07.2020,21197
27.07.2020,21337
28.07.2020,21093
29.07.2020,21334
30.07.2020,21155
31.07.2020,21128
03.08.2020,NaN
04.08.2020,NaN
05.08.2020,NaN
06.08.2020,NaN
07.08.2020,NaN
10.08.2020,21416
11.08.2020,21603
12.08.2020,21615
13.08.2020,21864
14.08.2020,21813
17.08.2020,22137
18.08.2020,22461
19.08.2020,22396
20.08.2020,22619
21.08.2020,22897
24.08.2020,22693
25.08.2020,22847
26.08.2020,22901
27.08.2020,22877
28.08.2020,22740
31.08.2020,22763
01.09.2020,23075
02.09.2020,22965
03.09.2020,22707
04.09.2020,22807
07.09.2020,22948
08.09.2020,22976
09.09.2020,22735
10.09.2020,22916
11.09.2020,23183
14.09.2020,23387
15.09.2020,23340
16.09.2020,23377
17.09.2020,23218
18.09.2020,23023
21.09.2020,23178
22.09.2020,23513
23.09.2020,23613
24.09.2020,23937
25.09.2020,23817
28.09.2020,23918
29.09.2020,24195
30.09.2020,24369
01.10.2020,24326
02.10.2020,24447
05.10.2020,24484
06.10.2020,24606
07.10.2020,24736
08.10.2020,25005
09.10.2020,24950
12.10.2020,24624
13.10.2020,24643
14.10.2020,24401
15.10.2020,24277
16.10.2020,24278
19.10.2020,24495
20.10.2020,24595
21.10.2020,24846
22.10.2020,24652
23.10.2020,24614
26.10.2020,24351
27.10.2020,24671
28.10.2020,24959
29.10.2020,24880
30.10.2020,24742
02.11.2020,24523
03.11.2020,24800
04.11.2020,25073
05.11.2020,25363
06.11.2020,25513
09.11.2020,25694
10.11.2020,25945
11.11.2020,26147
12.11.2020,26001
13.11.2020,26021
16.11.2020,26102
17.11.2020,25860
18.11.2020,25677
19.11.2020,25508
20.11.2020,25387
23.11.2020,25643
24.11.2020,25771
25.11.2020,25619
26.11.2020,25867
27.11.2020,25949
30.11.2020,26148
01.12.2020,26145
02.12.2020,26086
03.12.2020,26046
04.12.2020,26251
07.12.2020,26092
08.12.2020,26279
09.12.2020,26119
10.12.2020,25874
11.12.2020,25618
14.12.2020,25797
15.12.2020,25744
16.12.2020,25810
17.12.2020,26127
18.12.2020,26126
21.12.2020,25894
22.12.2020,26054
23.12.2020,26374
24.12.2020,26569
28.12.2020,26448
29.12.2020,26266
30.12.2020,26022
31.12.2020,26268
04.01.2021,26126
05.01.2021,25975
06.01.2021,25691
07.01.2021,25428
08.01.2021,25533
11.01.2021,25724
12.01.2021,25571
13.01.2021,25477
14.01.2021,25258
15.01.2021,25121
18.01.2021,25008
19.01.2021,25095
20.01.2021,25129
