Datum,Menge
02.01.2020,6096
03.01.2020,5075
06.01.2020,5057
07.01.2020,5054
08.01.2020,4942
09.01.2020,5027
10.01.2020,4924
13.01.2020,4937
14.01.2020,5034
15.01.2020,5023
16.01.2020,5137
17.01.2020,5038
20.01.2020,5087
21.01.2020,5045
22.01.2020,5084
23.01.2020,5082
24.01.2020,5142
27.01.2020,5257
28.01.2020,5188
29.01.2020,5305
30.01.2020,5372
31.01.2020,5338
03.02.2020,5375
04.02.2020,5364
05.02.2020,5479
06.02.2020,5541
07.02.2020,5552
10.02.2020,5614
11.02.2020,5609
12.02.2020,5727
13.02.2020,5709
14.02.2020,5767
17.02.2020,5759
18.02.2020,5653
19.02.2020,5720
20.02.2020,5649
21.02.2020,5631
24.02.2020,5564
25.02.2020,5485
26.02.2020,5540
27.02.2020,5444
28.02.2020,5346
02.03.2020,5394
03.03.2020,5430
04.03.2020,5396
05.03.2020,5458
06.03.2020,5361
09.03.2020,5265
10.03.2020,5160
11.03.2020,5127
12.03.2020,5170
13.03.2020,5201
16.03.2020,5209
17.03.2020,5216
18.03.2020,5126
19.03.2020,5049
20.03.2020,4996
23.03.2020,5017
24.03.2020,5092
25.03.2020,5109
26.03.2020,5170
27.03.2020,5253
30.03.2020,5284
31.03.2020,5378
01.04.2020,5306
02.04.2020,5192
03.04.2020,5237
06.04.2020,5280
07.04.2020,5193
08.04.2020,5117
09.04.2020,5175
14.04.2020,6275
15.04.2020,5229
16.04.2020,5229
17.04.2020,5212
20.04.2020,5161
21.04.2020,5052
22.04.2020,5162
23.04.2020,5268
24.04.2020,5385
27.04.2020,5304
28.04.2020,5376
29.04.2020,5305
30.04.2020,5231
04.05.2020,5318
05.05.2020,5368
06.05.2020,5428
07.05.2020,5321
08.05.2020,5214
11.05.2020,5227
12.05.2020,5221
13.05.2020,5199
14.05.2020,5137
15.05.2020,5030
18.05.2020,4933
19.05.2020,4848
20.05.2020,4850
22.05.2020,3742
25.05.2020,4914
26.05.2020,5004
27.05.2020,5038
28.05.2020,5106
29.05.2020,5207
02.06.2020,5926
03.06.2020,5186
04.06.2020,5280
05.06.2020,5300
08.06.2020,5321
09.06.2020,5286
10.06.2020,5181
12.06.2020,5170
15.06.2020,5094
16.06.2020,5119
17.06.2020,5049
18.06.2020,5150
19.06.2020,5142
22.06.2020,5144
23.06.2020,5098
24.06.2020,5218
25.06.2020,5122
26.06.2020,5211
29.06.2020,5122
30.06.2020,5192
01.07.2020,5283
02.07.2020,5280
03.07.2020,5311
06.07.2020,5413
07.07.2020,5519
08.07.2020,5551
09.07.2020,5564
10.07.2020,5576
13.07.2020,5629
14.07.2020,5630
15.07.2020,5636
16.07.2020,5634
17.07.2020,5602
20.07.2020,5703
21.07.2020,5755
22.07.2020,5811
23.07.2020,5734
24.07.2020,5777
27.07.2020,5749
28.07.2020,5697
29.07.2020,5768
30.07.2020,5708
31.07.2020,5694
03.08.2020,NaN
04.08.2020,NaN
05.08.2020,NaN
06.08.2020,NaN
07.08.2020,NaN
10.08.2020,5983
11.08.2020,6060
12.08.2020,6042
13.08.2020,5950
14.08.2020,5904
17.08.2020,5812
18.08.2020,5777
19.08.2020,5847
20.08.2020,5831
21.08.2020,5890
24.08.2020,5815
25.08.2020,5850
26.08.2020,5891
27.08.2020,5819
28.08.2020,5909
31.08.2020,6030
01.09.2020,6132
02.09.2020,6159
03.09.2020,6219
04.09.2020,6231
07.09.2020,6327
08.09.2020,6257
09.09.2020,6330
10.09.2020,6449
11.09.2020,6439
14.09.2020,6447
15.09.2020,6531
16.09.2020,6514
17.09.2020,6513
18.09.2020,6561
21.09.2020,6489
22.09.2020,6602
23.09.2020,6698
24.09.2020,6591
25.09.2020,6480
28.09.2020,6399
29.09.2020,6344
30.09.2020,6273
01.10.2020,6283
02.10.2020,6262
05.10.2020,6235
06.10.2020,6276
07.10.2020,6164
08.10.2020,6160
09.10.2020,6148
12.10.2020,6106
13.10.2020,6140
14.10.2020,6146
15.10.2020,6257
16.10.2020,6207
19.10.2020,6293
20.10.2020,6238
21.10.2020,6310
22.10.2020,6425
23.10.2020,6370
26.10.2020,6285
27.10.2020,6186
28.10.2020,6140
29.10.2020,6181
30.10.2020,6222
02.11.2020,6162
03.11.2020,6279
04.11.2020,6243
05.11.2020,6363
06.11.2020,6448
09.11.2020,6439
10.11.2020,6373
11.11.2020,6323
12.11.2020,6222
13.11.2020,6274
16.11.2020,6206
17.11.2020,6106
18.11.2020,6143
19.11.2020,6149
